"customer_id","first_name","customer_monthly_average"
272,"Kay","6.16"
37,"Pamela","6.16"
524,"Jared","6.12"
343,"Douglas","6.10"
181,"Ana","6.07"
426,"Bradley","5.99"
249,"Dora","5.99"
315,"Kenneth","5.99"
542,"Lonnie","5.99"
82,"Kathryn","5.90"
477,"Dan","5.89"
203,"Tara","5.85"
212,"Wilma","5.85"
482,"Maurice","5.82"
19,"Ruth","5.82"
187,"Brittany","5.81"
205,"Eileen","5.74"
583,"Marshall","5.74"
311,"Paul","5.74"
470,"Gordon","5.70"
505,"Rafael","5.70"
48,"Ann","5.62"
346,"Arthur","5.59"
59,"Cheryl","5.54"
491,"Rick","5.54"
480,"Corey","5.49"
443,"Francisco","5.49"
464,"Jerome","5.49"
61,"Katherine","5.49"
216,"Natalie","5.49"
331,"Eric","5.45"
585,"Perry","5.45"
7,"Maria","5.44"
472,"Greg","5.43"
552,"Hugh","5.43"
571,"Johnnie","5.43"
483,"Vernon","5.43"
451,"Jim","5.42"
2,"Patricia","5.42"
86,"Jacqueline","5.41"
84,"Sara","5.41"
582,"Andy","5.39"
117,"Edith","5.39"
259,"Lena","5.39"
44,"Marie","5.39"
493,"Brent","5.37"
49,"Joyce","5.37"
100,"Robin","5.37"
345,"Carl","5.35"
508,"Milton","5.35"
479,"Zachary","5.32"
3,"Linda","5.30"
285,"Miriam","5.30"
55,"Doris","5.28"
146,"Jamie","5.28"
504,"Nathaniel","5.26"
92,"Tina","5.26"
310,"Daniel","5.24"
337,"Jerry","5.24"
460,"Leon","5.24"
269,"Cassandra","5.21"
144,"Clara","5.21"
516,"Elmer","5.21"
194,"Kristen","5.19"
484,"Roberto","5.19"
495,"Charlie","5.17"
528,"Claude","5.17"
379,"Carlos","5.16"
80,"Marilyn","5.16"
403,"Mike","5.16"
87,"Wanda","5.16"
522,"Arnold","5.15"
467,"Alvin","5.14"
417,"Travis","5.13"
429,"Frederick","5.10"
455,"Jon","5.10"
137,"Rhonda","5.10"
